,name,time,tweet
0,DA,2022-05-30 04:57:24+00:00,Kalau di NY resiko naik subway bs dpt kekerasan fisik sprt ini atau ada aja org aneh ya yang ganggu kenyamanan (dr… https://t.co/2be05YWfh5
1,Indonesia Judicial Research Society (IJRS),2022-05-30 04:51:44+00:00,Untuk informasi selengkapnya bisa kamu baca di “Booklet Data dan Fakta Kekerasan Seksual di Indonesia 2021” pada we… https://t.co/weGrsaFbTw
2,Indonesia Judicial Research Society (IJRS),2022-05-30 04:51:42+00:00,"Yuk jangan cuma dengar dan bicara yang “katanya-katanya”, sudah saatnya kita berbicara berdasarkan fakta. Simak fak… https://t.co/slDMYMkPVG"
3,Indonesia Judicial Research Society (IJRS),2022-05-30 04:51:37+00:00,Katanya perempuan yang menjadi korban kekerasan seksual dikarenakan pakaiannya terbuka atau mengundang. Tapi faktan… https://t.co/pKQmrKBC1Y
4,Hasky,2022-05-30 04:22:26+00:00,"Dipimpin oleh Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan S… https://t.co/8yv6XMPK9T"
5,pujel,2022-05-30 03:57:06+00:00,"bener2 tiap hari, ada aja satu bahkan lebih kasus kekerasan seksual yg ke up. yg mana 90% nya pelakunya laki2. fuckin dumpppppppppp."
6,Ahmad Imran,2022-05-30 03:47:37+00:00,"15. Penyuluh Hukum Kanwil Kemenkumham Sulsel, Erna: Dari beberapa kasus kekerasan yang dialami perempuan adalah kek… https://t.co/U7XucreBkc"
7,cici sacici,2022-05-30 03:33:04+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/AYQMJC7BIq"
8,baca rules di bio! | UNS MENFESS,2022-05-30 03:27:02+00:00,"-11fess Mari ciptakan ruang aman bebas KS di UNS. Yuk bantu retweet, like, dan share!
Jika sobat mengalami atau mel… https://t.co/6BZhZiPpo8"
9,Ahmad Imran,2022-05-30 03:06:01+00:00,"15. Penyuluh Hukum Kanwil Kemenkumham Sulsel, Erna: Dari beberapa kasus kekerasan yang dialami perempuan adalah kek… https://t.co/s7icZKZBBw"
10,oneframeatatime,2022-05-30 02:52:00+00:00,"@FWBESS Di antara memanfaatkan fisik yang bagus itu ada : 
-Catcalling tanpa henti.
-Persentase tinggi mendapatkan… https://t.co/u5Eayr8RbC"
11,Magdalene,2022-05-30 02:00:00+00:00,"Dengan menampilkan investigasi dari para jurnalis, akademisi dan pengacara, Cyber Hell memberikan penekanan pada ba… https://t.co/fl09Mes9a4"
12,Komnas Perempuan,2022-05-30 01:12:28+00:00,"Sebagai upaya untuk mencegah terjadinya kekerasan seksual, Dinas PPAPP berkolaborasi dengan Komnas Perempuan dan KP… https://t.co/rx3JaQzzgE"
13,Denita,2022-05-30 01:03:49+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/JDauRz7Z8Z"
14,kondedotco,2022-05-30 00:48:01+00:00,Taylor Swift mendapat gelar doktor kehormatan di bidang seni rupa dari New York University (NYU). Ia  dianggap berj… https://t.co/Cw4BYfmgmV
15,Kathey,2022-05-30 00:47:53+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/jfRtV7ZEIH"
16,Kathey,2022-05-30 00:46:38+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/yozBB912Qi"
17,𝐕𝐋. mami ebbe bell,2022-05-29 21:59:23+00:00,"ketika pelaku sudah tidak bisa menahan hasrat seksual yang berlebihan. Jika dibiarkan, kondisi ini dapat membuat pe… https://t.co/KBenTPfHE0"
18,𝐕𝐋. mami ebbe bell,2022-05-29 21:55:13+00:00,Sedangkan pelecehan seksual adalah tindakan seksual lewat sentuhan fisik atau nonfisik dengan sasaran organ seksual… https://t.co/xFZGG2KTwa
19,𝐕𝐋. mami ebbe bell,2022-05-29 21:53:51+00:00,"Selain pelecehan seksual, Anda juga perlu tahu mengenai kekerasan seksual, yaitu setiap perbuatan yang merendahkan,… https://t.co/bkpFqolASj"
20,Arianto Goder,2022-05-29 21:12:39+00:00,"*MW Forhati dan Kohati Badko Jatim Mitigasi Penyintas Kekerasan Seksual Lingkup Perguruan Tinggi*

https://t.co/k4vp2DlzyV"
21,Devani,2022-05-29 18:51:46+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/KOgnntas5w"
22,Archie Sun,2022-05-29 18:38:23+00:00,"Nope, gue selalu denger banyak banget masalah pelecehan sampai kekerasan seksual di wibu apalagi kalangan cosplayer… https://t.co/AxWSEoHbt9"
23,ya ampun,2022-05-29 17:54:33+00:00,"""Kenapa ya kalau ada yang kumpul kebo, masyarakat kita terlalu cepat responnya. Giliran kekerasan seksual dianggap… https://t.co/EI4IknD5ov"
24,Engkus,2022-05-29 17:48:37+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/0cHcrYX7MF"
25,👀,2022-05-29 17:17:16+00:00,"Film ""27 Steps of May"".
Minim dialog tapi maknanya sampai.
Kisah perjuangan penyintas kekerasan seksual. Wajib di a… https://t.co/q1DMUyoYk9"
26,Qisti,2022-05-29 17:15:41+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/BMJxnoSyGv"
27,Catrice,2022-05-29 17:07:05+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/of7aHKxAcT"
28,Sukmanudin,2022-05-29 16:54:57+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/BZ1ScSIS4Y"
29,Benita,2022-05-29 16:46:29+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/KdS243dTdu"
30,Jihan,2022-05-29 16:33:50+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/uzIiL2INUJ"
31,Kiley,2022-05-29 16:24:20+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Gw7Ck3eSiQ"
32,Dadang,2022-05-29 16:19:27+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Mbu9rXkNba"
33,GinaGustari,2022-05-29 16:07:37+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/MY0i0I6oR5"
34,Geralyn,2022-05-29 15:53:42+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/tyWYjhOtQO"
35,Yoga,2022-05-29 15:48:34+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/nQb00UK9iR"
36,Summy,2022-05-29 15:48:33+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/foFKXY4Nsc"
37,Angga,2022-05-29 15:43:19+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/vGmqbiASAT"
38,Opik,2022-05-29 15:42:31+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/LxMWctce2W"
39,Ginanjar,2022-05-29 15:34:55+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/scjEOtcDqp"
40,Amikanita,2022-05-29 15:22:06+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/UkWnr5DNy5"
41,Susanti,2022-05-29 15:22:01+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/LfZX3eibak"
42,Sarah,2022-05-29 15:19:14+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/yciWCoTjrV"
43,bayu,2022-05-29 15:17:25+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/Lw8SFACCeW"
44,Doni,2022-05-29 15:14:28+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/pBYSKllAGK"
45,Sandi,2022-05-29 15:13:30+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/tEKCr4qFTV"
46,Sonia,2022-05-29 15:12:01+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/98Cdbukey5"
47,Silmi,2022-05-29 15:09:19+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ZdbAmp00IS"
48,Nindia,2022-05-29 15:01:39+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/bn8Lsdu4nu"
49,Gina,2022-05-29 14:59:26+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/F69WLDRLpH"
50,Sigit,2022-05-29 14:56:00+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/zaSUoCaFtA"
51,Desi,2022-05-29 14:54:43+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/S4T8bXmE6p"
52,Bayufernanda,2022-05-29 14:52:14+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/87V4evvEFL"
53,ika,2022-05-29 14:42:36+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/TkylcCBYMB"
54,Kinanti,2022-05-29 14:40:28+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/t9d0VKXOcu"
55,Dwi,2022-05-29 14:37:52+00:00,"Dipimpin Puan, DPR berhasil menuntaskan beberapa UU yang penting, seperti UU tentang Tindak Pidana Kekerasan Seksua… https://t.co/ixpz3DxWAw"
56,"Wacanaisme ⛈ (atau, panggil aku Fer) (jangan Waca)",2022-05-29 14:36:27+00:00,"""Tenun kebangsaan"" yang buta terhadap kekerasan seksual pun kekerasan struktural? Kalau seperti ini ""tenun kebangsa… https://t.co/vq4q8eqEaw"
57,NgopiBareng.id,2022-05-29 14:34:34+00:00,"Dalam lima bulan terakhir selama 2022, kekerasan terhadap perempuan dan anak terjadi di Bondowoso mencapai 8 kasus https://t.co/VRkjvjYsVJ"
