,name,time,tweet
0,The Conversation Indonesia,2022-05-22 10:47:53+00:00,"“Gitu aja kok takut sih?! Kamu laki-laki atau bukan?”

“Ih, laki-laki kok nangis?”

“Laki-laki kena pelecehan seksu… https://t.co/wQk7j3HKIY"
1,Gojek Indonesia,2022-05-22 06:44:09+00:00,@xiaotiengg Kami mohon maaf atas ketidaknyamanan teman kamu dengan pelayanan yang diberikan oleh Mitra Driver kami… https://t.co/OKkom0wX1t
2,Wannn,2022-05-24 23:56:42+00:00,"Kalau aku jadi kamu mungkin aku gak bakal becanda mengarah ke pelecehan, tapi aku yakin kamu harus minta maaf. Kamu… https://t.co/u7rEYmDOXH"
3,Dimas In The House,2022-05-24 23:54:18+00:00,"Sebobrok itukah moral manusia saat ini? LGBT dikasih panggung, kasus pelecehan, penghilangan nyawa anak oleh ibunya… https://t.co/MBb4kFUxiH"
4,Kecehhhabiss,2022-05-24 23:46:33+00:00,"@Oudellia93_ @istrinyakevin_s Agak gk nyambung sih. Hehe
Yg jelas pelecehan Verbal bisa dilakukan oleh lingkungan i… https://t.co/KVb2ST7tsU"
5,Rifki R V,2022-05-24 23:44:31+00:00,@txtdarisisange Giliran diflirting orang triak pelecehan. Ya gmn ya..
6,erlun🤌🏼,2022-05-24 23:43:18+00:00,pagi2 baca komenan orang2 kok pada memaklumkan pelecehan seksual cuma grgr dia masih muda(?) wkwkwk kocak
7,Rafly,2022-05-24 23:37:32+00:00,"ntar kalo pelecehan
dibilang cowonya mata keranjang
lah saha eta? pemicunya 😭 https://t.co/MBtMeVbQXD"
8,celin,2022-05-24 23:36:15+00:00,"@AREAJULID guru ngaji belakangan ini cap nya rada jelek karna HAMPIR SEMUA kasusnya ttg pelecehan, ada apani?🤕"
9,Kinanti,2022-05-24 23:30:03+00:00,@deyyyln Astaghfirullah ini masuk pelecehan perempuan muslim berhijab 😔
10,Rizal Gazali,2022-05-24 23:28:19+00:00,@WagimanDeep212_ @ListyoSigitP @DivHumas_Polri Mau nanya aja nih mBieb @WagimanDeep212_  di NKRI ada gak lembaga  K… https://t.co/9q2eceIeIw
11,YayiRatriKinasih,2022-05-24 23:02:22+00:00,"@Christo01509403 @Pretzelsyumm @ZonaBulutangkis Menurutku ndak muda deh kak. Udah lulus SMA, usia 22th sdh tau duni… https://t.co/9U9vOMWjAE"
12,Rudy Cahyo,2022-05-24 22:47:46+00:00,"@AnakLolina2 Wong mung ketok mripate wae wis ngacengan, ndahneyo nonton liya2ne, mengko perkosaan dan pelecehan sek… https://t.co/yugr1Byvm3"
13,まなの夫,2022-05-24 22:47:35+00:00,"Al-Quran Surah Yusuf memang benar. Dimana Nabi Yusuf difitnah melakukan pelecehan pada Zulaikha, padahal sama sekal… https://t.co/A4d3Gr4b0N"
14,lily | paganini stan,2022-05-24 22:46:17+00:00,"Kalian kalo mau belain tuh mikir dulu gitu lo. Pelaku pelecehan kok dibelain kan aneh.

Nih kostum buat lo pada https://t.co/WEyigev156"
15,lily | paganini stan,2022-05-24 22:46:13+00:00,"""Kasihan sebenernya ini cuma candaan doang""

PELECEHAN SEKSUAL TIDAK PANTAS DISEBUT BAHAN BERCANDAAN

Ada unsur pel… https://t.co/jNF9ZUSiNT"
16,lily | paganini stan,2022-05-24 22:46:13+00:00,Ada lagi komen ignorant yg malah nyalahin netijen karena terus nge-share &amp; jadi rame. Jadi kalo ada tindakan krimin… https://t.co/N40m7xEW50
17,lily | paganini stan,2022-05-24 22:46:12+00:00,"Kebiasan orang2 terutama para cewek &amp; fans2 dia nih denial. Mentang2 terkenal, berbakat, dan ganteng terus aja lu b… https://t.co/Y2Yo5qUHXu"
18,Tabloid MODUS ACEH,2022-05-24 22:44:48+00:00,Personel PPA Satreskrim Polresta Banda Aceh Tangkap Pelaku Pemerkosaan dan Pelecehan Seksual Terhadap Anak di Bawah… https://t.co/K5Ap4tuxMr
19,Donny Kurniawan,2022-05-24 22:43:17+00:00,"Si @Hilmi28 iman nya ketauan katro. Iman nya dia minimalis. Lihat wanita pakai pakaian mini, udah terganggu. Jangan… https://t.co/rlzWSfJi0e"
20,☝🏾𝗠𝘂𝘀𝗹𝗶𝗺 𝗖𝘆𝗯𝗲𝗿 𝗔𝗿𝗺𝘆 ☪,2022-05-24 22:41:59+00:00,"PA 212: ""Kami menuntut Pemerintah Indonesia untuk menghentikan pelecehan dan tindakan provokatif yang dilakukan ole… https://t.co/DwizknyVQf"
21,Gls_Wnd Aeris,2022-05-24 22:36:14+00:00,@jonginbear24 @SupriyantoWawa @nyuttdelight @detikcom Tuh orang keknya gk tahu kalau arti fuck you tuh ngajak sex n… https://t.co/6oNyqa2Fgb
22,Kartika Susilowati,2022-05-24 22:34:52+00:00,"@SaharaniMilva @idhamf93 Haduh, perempuan kok mikirnya gini. Ini pelecehan seksual, bukan main2. Saya sih bukan cum… https://t.co/1dTAsOewzI"
23,Gls_Wnd Aeris,2022-05-24 22:33:15+00:00,@hanzsss @detikcom Setidaknya dia sadar buat gk ngulangin ngomong tntg pelecehan. Di otak laki-laki pada umumnya yg… https://t.co/0o83QQ8NyV
24,Mohammad Ferdi A.,2022-05-24 22:28:09+00:00,"@Dillaella2 @txtdarigajelas Sepemikiran, mungkin ini termasuk pelecehan versi cowo"
25,panjull,2022-05-24 22:01:58+00:00,"@Nanta77067127 @oo_jef @PbKami @uobmwrad @BadmintonLive1 Apalagi tuh replyan ""padepoka aja nyantai apalagi kita"" wt… https://t.co/rk4D50p7P2"
26,panjull,2022-05-24 21:59:10+00:00,@Nanta77067127 @oo_jef @PbKami @uobmwrad @BadmintonLive1 tiktok yang artinya jadi konsumsi publik. Ya wajar toh dap… https://t.co/A4PHEXHIE9
27,fadelee,2022-05-24 21:22:46+00:00,"Video yg diduga atlit badminton yg melakukan pelecehan seksual verbal 

https://t.co/CR4JfGffsS"
28,KAI Commuter,2022-05-24 21:08:19+00:00,Kenali juga bentuk-bentuk pelecehan seksual agar kita tidak menjadi korbannya dan tahu ketika ada Rekan Commuters y… https://t.co/aZk7rDzdhn
29,KAI Commuter,2022-05-24 21:07:58+00:00,#RekanCommuters Mari saling peduli kepada sesama pengguna saat berada di transportasi publik. Pelecehan seksual dap… https://t.co/ykDuUQ3NyW
30,Hampir Kafir,2022-05-24 20:56:26+00:00,"@pakantono Laiyo laiyo inayah iki yo opo, engkok lek di towo malah gawe thread pelecehan seksual, lakyo repot"
31,BABINSA!,2022-05-24 20:27:44+00:00,Ceuk aing geu bagas mc weh enggeus. Tiada ruang untuk pelaku pelecehan seksual!!!!✊ https://t.co/4lGsCpwMtt
32,lupakan aku ୧⍤⃝⚘,2022-05-24 20:16:38+00:00,"@just_adrial @Dillaella2 @RizkyHeriadi @txtdarigajelas ga gitu juga kali bro, mungkin maksud mbak @Dillaella2 ini t… https://t.co/GTrScwGblU"
33,Marigold,2022-05-24 19:14:42+00:00,"@mey_rich @beezzyyy_ @stefanyvonne Bayangin, kasus ini ga rame ga dibahas di mana2. Terus lapor ke PBSI emang yakin… https://t.co/b2WfIJR6M4"
