,name,time,tweet
0,sportstarsid,2022-05-24 13:32:20+00:00,"Pebulu tangkis Indonesia, Yeremia Rambitan dikecam warganet gara-gara melontarkan kalimat yang bernada melecehkan
https://t.co/b9KJKYUKHc"
1,jamanchu,2022-05-24 13:29:13+00:00,Pelecehan seksual verbal dianggep biasa aja sama sebagian orang. Sumpah demi allah gue miris bacanya! #yere
2,ariesgang,2022-05-24 13:23:38+00:00,@mommyaldilan @stephaniezen mon maap mba harus nya kena. soalnya udh masuk ke seksual. di indo banyak korban pelece… https://t.co/JOndRzc4h6
3,jamanchu,2022-05-24 13:19:16+00:00,Gws buat orang orang yang blg kasus yere “ elah lebay amat masalah kecil doang atau elah lebay banget padahal cuma… https://t.co/PB91umWeGz
4,Pandung_09,2022-05-24 13:18:36+00:00,"Tolong dong, cukup artis pelaku pelecehan seksual aja yang masih aktif diranah layar hiburan di Indonesia. Atlet ja… https://t.co/fQXAhZUxPx"
5,jamanchu,2022-05-24 13:17:18+00:00,@xhitachaos Iya kan kek enteng banget itu mulut bilang begitu. Padahal itu termasuk pelecehan seksual verbal loh te… https://t.co/oVK0bnwuFJ
6,Basuki,2022-05-24 13:11:37+00:00,"@mey_rich @magenta_jingga @stefanyvonne justru Yere yg bikin jelek nama dia sndr, nama organisasi, &amp; nama bulutangk… https://t.co/WUEryHvCVh"
7,Darla | #SudahBooster,2022-05-24 13:05:20+00:00,@saankies Capek ya liat laki bedain pelecehan seksual aja ga bisa. Sinting.
8,Basuki,2022-05-24 13:03:06+00:00,@sflseed12 @mey_rich @stefanyvonne sepakat. nyatanya memang masih banyak yg gak paham kalau yang Yere lakukan itu s… https://t.co/AYJSOf8J36
9,mesabogi,2022-05-24 13:00:24+00:00,Gini kalo digodain bilangnya pelecehan seksual. Feminis ngamuk ngamuk. Wkkwkw https://t.co/fkZkAVhjVs
