,name,time,tweet
0,The Conversation Indonesia,2022-05-22 10:47:53+00:00,"“Gitu aja kok takut sih?! Kamu laki-laki atau bukan?”

“Ih, laki-laki kok nangis?”

“Laki-laki kena pelecehan seksu… https://t.co/wQk7j3HKIY"
1,Gojek Indonesia,2022-05-22 06:44:09+00:00,@xiaotiengg Kami mohon maaf atas ketidaknyamanan teman kamu dengan pelayanan yang diberikan oleh Mitra Driver kami… https://t.co/OKkom0wX1t
2,Sejiwa Denganku,2022-05-30 05:32:41+00:00,"Di depan rumah gw pernah ada suami istri tengkar. Istrinya mau pergi terus ditahan sama suaminya, disuruh balik ke… https://t.co/VDnLUplnME"
3,Serambi Indonesia,2022-05-30 05:31:16+00:00,"Kasus pelecehan dan rudapaksa terhadap anak di bawah umur terjadi di Kabupaten Pringsewu, Lampung.

Dilaporkan yang… https://t.co/5eQE7Lo1B3"
4,Idnas,2022-05-30 05:29:37+00:00,"@NdrewsTjan Tapi koh, gimana klo untuk kasus sepal sepil bernuansa pelecehan/kekerasan seksual?"
5,🌼,2022-05-30 05:23:37+00:00,"""Perempuan sekarang harus lebih kuat lg sih.""-Andra, 26th, setelah denger beberapa cerita pelecehan dr perempuan-pe… https://t.co/JamtlZByV9"
6,thread outfit!!!,2022-05-30 05:11:41+00:00,"@kakalebot Keponakan nya masih balita, cuman aku takut jg dia jadi korban selanjutnya, sebelumnya dulu dirumah itu… https://t.co/fSezwL8gAq"
7,tribunbali,2022-05-30 05:08:18+00:00,"Warga Klungkung Diresahkan Pelaku Pelecehan Sentuh Paha, Ini Ciri-ciri Pelaku

https://t.co/yb86aZD4ei 

#Bali"
8,acha୧⍤⃝🌺,2022-05-30 04:59:52+00:00,"@busy_koala @Askrlfess Nih ya, kak, dia video gak sengaja. Bukan kesengajaan. Terus dia viralin ya karena ngiranya itu pelecehan."
9,little fairy,2022-05-30 04:59:42+00:00,"@convomfs fyi itu namanya nge-tg, blm lama ada kejadian kaya gitu trs lapor ke polisi atas tuduhan pelecehan seksua… https://t.co/g5wlDepK8L"
10,DA,2022-05-30 04:57:24+00:00,Kalau di NY resiko naik subway bs dpt kekerasan fisik sprt ini atau ada aja org aneh ya yang ganggu kenyamanan (dr… https://t.co/2be05YWfh5
11,Gus Jul,2022-05-30 04:52:41+00:00,"Penjelasan Polisi Soal Dugaan Pelecehan Seksual, Bapak Grab Nyium Mba-mba... Harus diusut tuntas ini!! @DjengNoni… https://t.co/SXHSF6cFty"
12,𝕒𝕟𝕦𝕟𝕘,2022-05-30 04:44:05+00:00,@dessysoemarko_ @ridwankamil ini dari dulu si kutu kupret sering buat masalah.. gak dididik sama orang tua nya apa… https://t.co/uHAFzAlDEB
13,sora,2022-05-30 04:43:24+00:00,"Kata temen gua yang kost deket kampus unesa, sekitaran komplek banyak bgt pelecehan. Mana orang orangnya disana ind… https://t.co/3e2W5H2XNq"
14,Rikek Turu😴,2022-05-30 04:42:13+00:00,"@AfrilMFaridz @anakkkbaikbaik @anyaabakrie @txtfrombrand Nah maksud gue tu minimal tau dulu gitu masalahnya apaan,… https://t.co/FJlRkoyF5w"
15,Khoirul Anam,2022-05-30 04:36:38+00:00,"@O29OO1 @rsmn_vr @anyaabakrie @txtfrombrand Yap bner, krna org indonesia itu terkenal karakter yg ""Latahan""
Jd keti… https://t.co/n8f7OZC9t8"
16,cathlyn!,2022-05-30 04:31:24+00:00,"@pinotski @giegiewastaken Pelecehan seksual dan copet memang masih ada di transportasi umum (krl, tj, dll) tapi unt… https://t.co/vM8tXt0xvP"
17,StreamUFR | Nonton Film Bioskop & Series Sub Indo,2022-05-30 04:25:40+00:00,"Streaming Film Cyber Hell

'Cyber Hell' menguak kasus menghebohkan di Korea pada awal 2020 perihal pelecehan &amp; eksp… https://t.co/uTSJcaYESW"
18,Rie | Rant,2022-05-22 06:42:26+00:00,"""Kawula muda, pernah jadi korban pelecehan juga kah?""

Apaaaaaaan? Nanya kyk gini enteng banget berasa kyk cuma nan… https://t.co/Ky7OO2R1KF"
19,𝑺𝑰𝑱𝑬𝑼𝑵𝑰𝑰⚘,2022-05-22 06:41:16+00:00,"Bukti kalo laki laki juga bisa kena pelecehan sexual, yang salah bukan kitanya tapi pelaku"" yang otaknya miring sem… https://t.co/7PzeDeMwou"
20,𝓐𝓻𝓬𝓮𝓷𝓭°,2022-05-22 06:39:40+00:00,@Thomazhen2 @setareulahav @hahahihianxiety @Silenthuman9 @imyourjessy_ @ptrbrmnty Dia gak dapat bukti untuk penjara… https://t.co/Ggfd7H1Lss
21,Hil,2022-05-22 06:39:20+00:00,@naufalfalahfal @tubirfess walaupun gw cwek tp gw anggap ini pelecehan jg
22,cassie,2022-05-22 06:37:23+00:00,lu pikir cowo gabisa kena pelecehan?? https://t.co/Ajcy5RDjoL
23,ara stress era 😩,2022-05-22 06:36:18+00:00,"rasa takut apa hubungan nya sama gender goblok. dia kena pelecehan seksual, rasa takut dia nggak seharusnya di-inva… https://t.co/lkakHsfdwS"
24,"Noelle, move",2022-05-22 06:35:35+00:00,"@mangojuicee48 Si A yg salah, kaya si A dia ngeflirt duluan di flirt balik sama si K diblg pelecehan, trs banyak yg… https://t.co/VHkj1F8VEx"
25,Mit,2022-05-22 06:34:45+00:00,"@RahmatRRor @araasure @xiaotiengg LO TOLOL ANJING KONTOL
semoga lu jadi korban supaya bisa ngerasain sama apa yg di… https://t.co/LEyokhQRw8"
26,max ⚡,2022-05-22 06:33:21+00:00,@RahmatRRor @araasure @xiaotiengg apakah kamu pikir sexual harrassment tidak bisa menimpa laki-laki? Apakah kamu ha… https://t.co/cCqijIyjVB
27,Partono Ahmet Djemat,2022-05-22 06:30:47+00:00,"Makanya jd cowo hrs belajar jutek.
Ramah dikit bs dikata pelecehan n otw thread."
28,Ayu Komang,2022-05-22 06:30:38+00:00,"@AntoroPeri hapus foto saya atau lanjut ke jalur hukum , karena pencemaran nama baik &amp; pelecehan !!! https://t.co/a1rtlGu262"
29,genie us,2022-05-22 06:30:15+00:00,@SmgMenfess2 Pelecehan wkwk
30,jerin_,2022-05-22 06:29:16+00:00,@cholilnafis lebih baik jk MUI fokus urus para ustad yg makin hari makin byk jd pelaku pelecehan bahkan kejahatan s… https://t.co/pNt5ThHB4G
31,#no_mention,2022-05-22 06:27:06+00:00,"@safirawwww Yg menurut situ melakukan pelecehan ada di depan mata , lsg aja laporkan atau labrak sekalian, jangan s… https://t.co/iKXZnWEQRM"
32,Kembang,2022-05-22 06:26:07+00:00,"pelecehan tetep salah, gaada pembenaran wajib dilaporin dan pelakunya dihukum.

tapi tentang lagi naik baik gocar/g… https://t.co/icjBKTX6lj"
33,Ayu Komang,2022-05-22 06:23:30+00:00,@AntoroPeri @bigblackreborn Woiiii brengsek Lo ngatain saya yang nggk2 di Twitter emang saya pernah ngapin Lo .bang… https://t.co/4wwnHP0qnl
34,SISIL,2022-05-22 06:23:05+00:00,"@Nuala_Cherelle @tanyakanrl Plis itu dia ngiranya pasti abngnya sayang apa gmn gtu, dia g tau klo ini smcm kek pelecehan."
