,name,time,tweet
0,satriaBJhitam,2022-05-30 05:06:09+00:00,@deklinan_ Pembunuhan ??? Pemerkosaan ???
1,fajar online,2022-05-30 04:53:30+00:00,"Berkenalan di Pasar Malam, Modus K Ajak NP Berkencan di Rumah Sang Kakak, Merasa Keberatan NP Lapor Polisi… https://t.co/SFkFxp4tmG"
2,𝓐𝓜𝓐𝓡,2022-05-30 04:31:23+00:00,"🧑🏽‍🦱 : eh fotoin rebahan dirumput sm bunga dong, yg keren tp ya!!!
👩🏻: oke mas
🧑🏽‍🦱 : keren ga?
👩🏻 : keren mas
🧑🏽‍🦱… https://t.co/q8WpdlBVID"
3,Ly31_,2022-05-30 04:07:52+00:00,"@esthergultom Aku punya pengalaman bgtu, ktemu plus digodain org dijlan pake outfit srba item, bdannya gde mrip alg… https://t.co/Yj9DvVU04H"
4,Bimakini,2022-05-30 03:42:28+00:00,Pelaku Pemerkosaan Anak di Bawah Umur di Dompu Diringkus Aparat https://t.co/lUHInGI3mM
5,JPNN.com,2022-05-30 03:40:05+00:00,"Aksi percobaan pemerkosaan terjad di Kabupaten Bima, pelakunya mabuk miras dan mengancam membunuh anak korban… https://t.co/z2wNKISSbI"
6,JPNN.com,2022-05-30 03:05:05+00:00,"Pemerkosaan terjadi di Kabupaten Dompu NTB, pelaku dan korban masih muda  #pemerkosaan https://t.co/FtkQ9xlXEY"
7,VCS TRUSTED,2022-05-30 03:03:14+00:00,BOKEP JAV https://t.co/8gOkWxo60J
8,er,2022-05-30 02:49:09+00:00,"@niubluer @tokopediaan @nofaria_cen @Mentimoen Karna terbiasa naik commuter line di Indonesia yg cukup kondusif, tr… https://t.co/6sHTe9nuhA"
9,er,2022-05-30 02:39:13+00:00,"@niubluer @tokopediaan @nofaria_cen @Mentimoen Sumpah, masih gak percaya sih bang. Soalnya ini pemerkosaan. Ngeri b… https://t.co/6tv7XqHKXb"
10,ZonaPriangan.com,2022-05-30 00:32:02+00:00,"Tentara Rusia Lakukan Pemerkosaan Wanita di Oleksandrivka, Ibu-ibu dan Remaja Putri Hilang Begitu Saja https://t.co/U5HbYvlsf8"
11,Informasi Pati,2022-05-30 00:12:47+00:00,#infounik #pati &gt; Pemerkosaan dilaporkan setiap enam menit di AS
12,auli🪁,2022-05-29 23:54:32+00:00,obrolan buibu di tukang sayur hari ini ttg pemerkosaan dan co yg pindah ranjang (gonta ganti cewe)
13,.,2022-05-29 23:14:22+00:00,dengerin TikTok berita ttg pemerkosaan. sedihnya kaya makin mikir. astaghfirullah.. fakta2 seperti ini seharusnya m… https://t.co/f8pV5Y3mcv
14,naj,2022-05-29 22:25:46+00:00,"@Aqnologia1 @kenapaaBestie @_bananamiruku Ntar kalo ada perampokan,pemerkosaan gak perlu minta tolong tetangga. Kan… https://t.co/Q5CF7fpgxL"
15,𝐕𝐋. mami ebbe bell,2022-05-29 21:59:23+00:00,"ketika pelaku sudah tidak bisa menahan hasrat seksual yang berlebihan. Jika dibiarkan, kondisi ini dapat membuat pe… https://t.co/KBenTPfHE0"
16,Lia~🦋,2022-05-29 18:01:06+00:00,"@paulagodzillla @tanyakanrl Orang sekarat ditabrak aja masi bisa diperkosa, bahkan mayat juga ada manusia yang masi… https://t.co/rnDcc4bnHZ"
