,name,time,tweet
0,Project Multatuli,2022-05-27 11:36:08+00:00,Tidak mungkin bagi saya untuk menghapuskan kekerasan seksual dari muka bumi ini jika saya tidak berdiri bersama mer… https://t.co/ut9ikgIGw1
1,LBH APIK Jakarta,2022-05-25 13:26:37+00:00,Laporan perkembangan Kasus Dugaan Kekerasan Seksual di Majalah Geotimes oleh Tim Pendamping penyintas yang terdiri… https://t.co/O00ovKAaTL
2,Perkumpulan ICJR,2022-05-25 10:01:11+00:00,"[SIARAN PERS]

Perkembangan Kasus Dugaan Kekerasan Seksual di Majalah Geotimes (1) https://t.co/6ARidWi5KB"
3,𝐕𝐋. mami ebbe bell,2022-05-29 21:59:23+00:00,"ketika pelaku sudah tidak bisa menahan hasrat seksual yang berlebihan. Jika dibiarkan, kondisi ini dapat membuat pe… https://t.co/KBenTPfHE0"
4,𝐕𝐋. mami ebbe bell,2022-05-29 21:55:13+00:00,Sedangkan pelecehan seksual adalah tindakan seksual lewat sentuhan fisik atau nonfisik dengan sasaran organ seksual… https://t.co/xFZGG2KTwa
5,𝐕𝐋. mami ebbe bell,2022-05-29 21:53:51+00:00,"Selain pelecehan seksual, Anda juga perlu tahu mengenai kekerasan seksual, yaitu setiap perbuatan yang merendahkan,… https://t.co/bkpFqolASj"
6,Arianto Goder,2022-05-29 21:12:39+00:00,"*MW Forhati dan Kohati Badko Jatim Mitigasi Penyintas Kekerasan Seksual Lingkup Perguruan Tinggi*

https://t.co/k4vp2DlzyV"
7,Jawa Pos,2022-05-25 09:41:34+00:00,Kasus Kekerasan Seksual di Kampus Butuh Perhatian Khusus https://t.co/hy993rNDNi
8,farah,2022-05-25 09:28:46+00:00,"entahlah.. bagi gue, penyampaian halus berbalut kritik membangun juga enggak kalah bahaya sama opini jelek di luar… https://t.co/NRTZOe4Tel"
9,farah,2022-05-25 09:19:52+00:00,"entah atlet maupun selebriti, bisa kasih influence banyak ataupun enggak, kalau kita merasa di dunia ini kita dicip… https://t.co/3lBSjIege8"
10,Lala waiting FOR TO1 & CHIHOON patiently👑,2022-05-25 09:10:12+00:00,Tapi untuk penyintas kekerasan seksual memang ga mudah si maafin orang kaya yere ini. Beberapa qrt bilang jadi jiji… https://t.co/s1ALb71cT1
11,Ini Balikpapan,2022-05-25 08:58:21+00:00,Kawal Implementasi UU Tindak Pedana Kekerasan Seksual https://t.co/ZsK56hWWVG
12,🌫,2022-05-25 08:33:57+00:00,Justru kasus kekerasan seksual yang dilakukan orang kayak Yere lah yang bikin kenapa kejadian begini keulang terus.… https://t.co/hME72Ktypu
13,iwin,2022-05-25 08:28:45+00:00,"Gimana coba kalau aktivis malah ngadu nasib difitnah BuzzeRp dengan...terduga pelaku kekerasan seksual.
Iya iya kag… https://t.co/asJ4Z6CGQe"
14,Cari Layanan,2022-05-25 08:19:29+00:00,"--yang harus dihadapi oleh teman-teman LGBTQIA+. Selain itu, trauma masa kecil, kemiskinan, kurangnya literasi, bul… https://t.co/9cqcacmh5P"
15,Arisqa Putra,2022-05-25 08:10:11+00:00,"@HusinShihab Setau saya orang yg suka thd hal2 yg berbau mesum umumnya mengalami masalah kejiwaan.
Perilaku seperti… https://t.co/5H8DojBQgZ"
16,METRO TV,2022-05-25 08:02:22+00:00,Catcaling merupakan salah satu kekerasan non fisik yang masih banyak dilakukan. Catcalling merupakan bentuk peleceh… https://t.co/pvdoQjC4O7
17,Negara Kesatuan Raka Ibrahim,2022-05-25 07:55:38+00:00,"Teman-teman,

Saya sedang menulis artikel untuk @jakpost tentang kesaksian laki-laki yang mengalami kekerasan seksu… https://t.co/40MpRk3fPB"
18,BEM Kema Fapet Unpad,2022-05-25 07:52:28+00:00,baik. oleh karena itu kastrat bem kema fapet menjalankan salah satu proker yaitu SAFE ZONE dengan harapan menciptak… https://t.co/eef1YIy9pV
19,BEM Kema Fapet Unpad,2022-05-25 07:51:50+00:00,"[PRESS RELEASE WEBINAR SAFE ZONE]
Halo Kema Fapet!!!
Kasus kekerasan seksual di lingkungan universitas padjajaran s… https://t.co/NGXZrErKLd"
20,ebi,2022-05-25 07:16:41+00:00,@na_dirs komennya bikin gregetan. emang yang dibenci Allah itu cuma dan hanya kaum sodom aja kah? kalo tukang selin… https://t.co/lenoFfIuR6
21,CBN Fiber,2022-05-25 06:59:05+00:00,"Bercerita tentang sebuah departemen kepolisian yang menangani kasus kekerasan seksual dan KDRT, beberapa episode se… https://t.co/Z7CyZn0NLA"
22,Canta Bayu Laksana,2022-05-25 06:50:58+00:00,@emiraulia12 @AinuzZaim18 Karena kalo kita membenturkan antara kedua hal ini dan menyalahkan terus undang-undangnya… https://t.co/pxIvjxjfb7
23,🤝,2022-05-25 06:21:21+00:00,"Kekerasan seksual dibandingkan dengan psywar? ga sebanding dong, gimana sih? https://t.co/77IIP8zQvM https://t.co/f1EMBfBRdQ"
24,Yvonne 黄依欢,2022-05-25 06:16:55+00:00,Maaf match apa ya yg lawan WO? Lagian bandingin psywar di lapangan sama kekerasan seksual gak apple to apple. Apa t… https://t.co/PAxFS1wDBj
25,medcom_id,2022-05-25 06:14:51+00:00,NasDem Jateng Ikut Perangi Tindak Kekerasan Seksual pada Anak https://t.co/X1v1vRJ7UG
26,rizqi fajrin,2022-05-25 06:10:59+00:00,@diecaprihoez @mardiasih Poinnya gimana dulu: terduga kekerasan seksual 100% betul2 pelaku kekerasan seksual atau t… https://t.co/QUNlxehRu3
27,Yvonne 黄依欢,2022-05-25 06:10:56+00:00,Pihak federasi &amp; pelatih juga seharusnya ada tindak lanjutnya. Biar gak keulang lagi baik di orang yg sama ataupun… https://t.co/IlCkpyW7gB
28,Yudhif,2022-05-25 06:07:14+00:00,Kekerasan seksual yg lg viral 🤣😂 https://t.co/yqOLTRomWk
29,thal,2022-05-25 06:01:13+00:00,"1. Masalahnya emg BESAR, udh seharusnya dpt reaksi yg BESAR. Krn ironisnya, trending msh jd cara paling efektif bia… https://t.co/hCtuVRBgqC"
30,まなの夫,2022-05-25 05:55:37+00:00,"Kalo ada cewek problematik bikin tweet thread spill panjang cerita ngaku diperkosa, jangan pernah dipercaya!

Udah… https://t.co/LksrXWKJwZ"
31,lita,2022-05-25 05:53:22+00:00,"as simple, kalau ga trending justru ga akan ada tindakan lanjut dan ga akan ada klarifikasi. dan menormalisasikan k… https://t.co/44E1mfaVZY"
32,You know who ┐(´д｀)┌,2022-05-25 05:53:16+00:00,"@detikcom Ini bisa disebut kekerasan seksual yg di ""Hallal"" kan."
33,PDI Perjuangan,2022-05-25 05:43:16+00:00,"""UU ini merupakan angin segar bagi perempuan dan anak Indonesia yang paling rentan menjadi korban kekerasan seksual… https://t.co/VTnlfVFgOs"
34,PDI Perjuangan,2022-05-25 05:43:16+00:00,Bintang Puspayoga : UU LEX Specialist Dapat Memberikan Perlindungan Komprehensif Terhadap Korban Kekerasan Seksual.
35,まなの夫,2022-05-25 05:36:53+00:00,"Udah capek banget sama cewek problematik bikin thread spill, ngaku2 cerita diselingkuhin, diperkosa, korban kekeras… https://t.co/aK8MEi76VC"
36,M. Nafis Al-Mukhdi,2022-05-25 05:32:08+00:00,"Undang-Undang Republik Indonesia Nomor 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual
sekarang tersedia di W… https://t.co/lFcequSNrh"
