,name,time,tweet
0,Narasi Newsroom,2022-05-23 06:25:39+00:00,Polda Sulawesi Selatan memutuskan menghentikan penyidikan kasus dugaan pemerkosaan tiga anak yang dilakukan oleh ay… https://t.co/Ye4nKx0nFa
1,detikcom,2022-05-26 08:32:17+00:00,Perwira Polda Sulsel AKBP Mustari didakwa melakukan pemerkosaan berkali-kali terhadap remaja putri. AKBP Mustari di… https://t.co/jq3T3rbgwA
2,Jaringan GUSDURian,2022-05-25 00:32:13+00:00,"Apa tagar (#) yang mewakili perasaanmu ketika mendengar kabar ini?

Polda Sulawesi Selatan Setop Pengusutan Kasus P… https://t.co/K4Fx3iINq7"
3,auli🪁,2022-05-29 23:54:32+00:00,obrolan buibu di tukang sayur hari ini ttg pemerkosaan dan co yg pindah ranjang (gonta ganti cewe)
4,.,2022-05-29 23:14:22+00:00,dengerin TikTok berita ttg pemerkosaan. sedihnya kaya makin mikir. astaghfirullah.. fakta2 seperti ini seharusnya m… https://t.co/f8pV5Y3mcv
5,naj,2022-05-29 22:25:46+00:00,"@Aqnologia1 @kenapaaBestie @_bananamiruku Ntar kalo ada perampokan,pemerkosaan gak perlu minta tolong tetangga. Kan… https://t.co/Q5CF7fpgxL"
6,𝐕𝐋. mami ebbe bell,2022-05-29 21:59:23+00:00,"ketika pelaku sudah tidak bisa menahan hasrat seksual yang berlebihan. Jika dibiarkan, kondisi ini dapat membuat pe… https://t.co/KBenTPfHE0"
7,Free Porn Movies,2022-05-29 21:20:22+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nUMbKA"
8,Lia~🦋,2022-05-29 18:01:06+00:00,"@paulagodzillla @tanyakanrl Orang sekarat ditabrak aja masi bisa diperkosa, bahkan mayat juga ada manusia yang masi… https://t.co/rnDcc4bnHZ"
9,👀,2022-05-29 17:51:08+00:00,"Wah, ternyata ada yang mengulas lebih dalam. Bisa dibaca: https://t.co/oYSdI8CmnR"
10,Ilham_pradana,2022-05-29 15:57:21+00:00,Satpam yang berjagaa kala itu.... satpamnya hanya merespon biasan tanpa rasa takut apa kaget. Dia bercerita bahwa d… https://t.co/nR3CRvNbqX
11,Balipuspanews.com,2022-05-29 14:43:15+00:00,"Pelajar SD Diduga Jadi Korban Pemerkosaan, Keluarga Melapor ke PPA PolrestaPPA Polresta https://t.co/PP8RDjvXPc"
12,Bukan princess,2022-05-29 14:38:55+00:00,@kairubyj @adamsetyoa @nandarafidhaa ye makany bingung aja gt. setiap skandal seks gini pasti netijen ngegaremin ce… https://t.co/aTndsgI6T8
13,Heriweb,2022-05-29 14:05:11+00:00,"Imran Sah Bantu Korban Pemerkosaan di Simarsayang, Minta Pelaku Segera Ditangkap https://t.co/2Rhyr2cyDQ"
14,huemay,2022-05-29 13:50:18+00:00,Abis baca tweet dia kayanya dia terbebani bngt dengan keadaan gue  yang kacau balau. Maaf ya aku nyakitin kamu 🥲 ak… https://t.co/L4DxoIm7WU
15,1098,2022-05-29 13:28:21+00:00,"@elnino73309425 @sashanxi @hnstywlndr @AREAJULID Kalau wanita didominasi oleh hawa nafsu kenapa pelaku pemerkosaan,… https://t.co/Jn3pyUSmr9"
16,Free Porn Movies,2022-05-29 12:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nV4kYI"
17,🦀Getire_Bacha_satire16🦀,2022-05-29 11:48:52+00:00,"@hijaudauon_blue Ingat!!!!
Perselingkuhan itu bukan pemerkosaan😉 dimana wanita mau jadi selingkuhan dan menikmati p… https://t.co/bd1Agtd64d"
18,Edi M Cassanop,2022-05-29 11:12:30+00:00,@felixsiauw Kadrun mau memutarbalikkan fakta dan sejarah. Nyebut pembebasan untuk perampokan pembunuhan pemerkosaan… https://t.co/gJ3gZeJptO
19,Heriweb,2022-05-29 10:58:50+00:00,"Pelaku Masih Bebas, Bocah Korban Pemerkosaan di Sidimpuan Terpaksa ‘Diungsikan’ https://t.co/5Q4hIZjt4s"
20,Iwano Hunt,2022-05-29 10:03:08+00:00,@felixsiauw Dan juga Agresor Penduduk kontantinopel mengalami pembantaian dan pemerkosaan. Sekitar 4000 orang terbu… https://t.co/VvpsuagcfC
21,ℙ𝕨𝕖𝕣 ℝ𝕒𝕟𝕘𝕖𝕣 𝔹𝕚𝕣𝕦 𝕄𝕖𝕥𝕒𝕝𝕚𝕜,2022-05-29 09:10:21+00:00,@KompasTV Tuntutan e dobel it hrsnya. Penculikan &amp; pemerkosaan
22,‧₊˚ ⋆ ☁️,2022-05-29 08:11:08+00:00,"Grand Army (2020 — 1 Season)

Tentang siswa SMA di New York, bagaimana mereka bersekolah dan hidup dikota yg padat… https://t.co/pr7C0tQwYw"
23,JPNN.com,2022-05-29 07:19:02+00:00,"Polisi menangkap pria berinisial MF (60) yang memerkosa keponakannya yang berusia 16 tahun di wilayah Moyo Hilir, S… https://t.co/E0PehIjN7f"
24,Mom is 🥜🌰,2022-05-29 06:56:26+00:00,Ninuninu kl ada yg lapor pencemaran nama baik pake UU ITE meski alasannya lebay &amp; terlalu dicari2 pdhl cuman fragil… https://t.co/FE8cP2w9aW
25,Eliy,2022-05-29 06:36:34+00:00,"@tanyakanrl Cwo bisa tebar jaring seenaknya, cewe wajib tutup jalan biar si cwo ga seenaknya.

Kalo kasus pemerkosa… https://t.co/v0fTW2GuCk"
26,Beritabaru.co,2022-05-29 05:54:34+00:00,"Keluarga dan Saksi Kunci Kasus Pemerkosaan Bocah di Sragen Diintimidasi, Luluk Nur Hamidah: Perlindungan Fisik Akan… https://t.co/SnWD8SmUmk"
27,🚭🚯,2022-05-29 05:30:44+00:00,TW: Pemerkosaan di Metaverse https://t.co/iP1THkdEvn
28,•Mor•,2022-05-29 04:30:48+00:00,"@NITROGAZED Tentang tradisi kawin tangkap di Sumba gitu. Seinget aku TW-nya: pemerkosaan/rape, suicide attempt (lum… https://t.co/BFdn1oEvu7"
29,Free Porn Movies,2022-05-29 04:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nUMbKA"
30,🅽🅾🆅🅴🅻🅰🆁🅰🆂🆆🅰🆃🅸 💯🇮🇩,2022-05-29 03:51:26+00:00,"KSTP semakin brutal dan membabi buta, anak di bawah umur menjadi menjadi korban pemerkosaan

Kinerja Presiden Memua… https://t.co/NNOgUf2lpE"
31,Ryu,2022-05-29 03:37:57+00:00,"@JAV_banget Perihal resesi bakal banyak akibat fatal, dengan resesi yg terjadi seperti perjaka single ketika indust… https://t.co/C3Ld4EFS5A"
32,🌸,2022-05-29 02:01:40+00:00,Korban pemerkosaan gimana? https://t.co/ku5h60B366
